"","importance","type","q95","q05","colname"
"1",-0.000498488780728668,"PFI on test data",0.000875032892038873,-0.00143730393080146,"X1"
"2",0.00241899976553661,"PFI on test data",0.00702290612742815,-0.00220973779627101,"X10"
"3",0.00538138585024761,"PFI on test data",0.00846896816931486,0.000895368162795451,"X11"
"4",0,"PFI on test data",0,0,"X12"
"5",0,"PFI on test data",0,0,"X13"
"6",0.00403011402892117,"PFI on test data",0.011147242610703,-0.0025178903382288,"X14"
"7",0,"PFI on test data",0,0,"X15"
"8",0,"PFI on test data",0,0,"X16"
"9",0,"PFI on test data",0,0,"X17"
"10",0,"PFI on test data",0,0,"X18"
"11",0,"PFI on test data",0,0,"X19"
"12",0,"PFI on test data",0,0,"X2"
"13",-0.0025331963726023,"PFI on test data",0.00251849688785199,-0.00459196766802852,"X20"
"14",0.00452582206212027,"PFI on test data",0.0181554554434467,-0.00309648931544024,"X3"
"15",0.000230837822073227,"PFI on test data",0.0193654515383364,-0.00945955195551256,"X4"
"16",0,"PFI on test data",0,0,"X5"
"17",-0.0105358357718166,"PFI on test data",-0.00283543937584021,-0.0237789977671267,"X6"
"18",0,"PFI on test data",0,0,"X7"
"19",0,"PFI on test data",0,0,"X8"
"20",0,"PFI on test data",0,0,"X9"
"21",0.0211730481684205,"PFI on train data",0.0246075313761833,0.0096870585754512,"X1"
"22",0.207744409199804,"PFI on train data",0.296703275259584,0.0882311987578868,"X10"
"23",0.148049925751984,"PFI on train data",0.209477817416191,0.0723474006894979,"X11"
"24",0,"PFI on train data",0,0,"X12"
"25",0,"PFI on train data",0,0,"X13"
"26",0.338211745023727,"PFI on train data",0.426040120124817,0.19953506847471,"X14"
"27",0,"PFI on train data",0,0,"X15"
"28",0,"PFI on train data",0,0,"X16"
"29",0,"PFI on train data",0,0,"X17"
"30",0,"PFI on train data",0,0,"X18"
"31",0,"PFI on train data",0,0,"X19"
"32",0,"PFI on train data",0,0,"X2"
"33",0.0741311526298523,"PFI on train data",0.111196728944779,0.0370655763149266,"X20"
"34",0.336905372738838,"PFI on train data",0.465080891409889,0.200474884092808,"X3"
"35",0.648792452178895,"PFI on train data",0.880259745262564,0.517244597360492,"X4"
"36",0,"PFI on train data",0,0,"X5"
"37",0.418521750345826,"PFI on train data",0.509153989136219,0.327478933138773,"X6"
"38",0,"PFI on train data",0,0,"X7"
"39",0,"PFI on train data",0,0,"X8"
"40",0,"PFI on train data",0,0,"X9"
